date,division,district,admissions,source,is_estimated
2022-07-04,Mymensingh,Mymensingh,0.0,dghs_pdf,False
2022-07-04,Mymensingh,Netrokona,0.0,dghs_pdf,False
2022-07-04,Mymensingh,Sherpur,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Bogura,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Chapai Nawabganj,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Joypurhat,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Naogaon,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Natore,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Pabna,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Rajshahi,0.0,dghs_pdf,False
2022-07-04,Rajshahi,Sirajganj,0.0,dghs_pdf,False
2022-07-04,Rangpur,Dinajpur,0.0,dghs_pdf,False
2022-07-04,Rangpur,Gaibandha,0.0,dghs_pdf,False
2022-07-04,Rangpur,Kurigram,0.0,dghs_pdf,False
2022-07-04,Rangpur,Lalmonirhat,0.0,dghs_pdf,False
2022-07-04,Rangpur,Nilphamari,0.0,dghs_pdf,False
2022-07-04,Rangpur,Panchagarh,0.0,dghs_pdf,False
2022-07-04,Rangpur,Rangpur,0.0,dghs_pdf,False
2022-07-04,Rangpur,Thakurgaon,0.0,dghs_pdf,False
2022-07-04,Sylhet,Habiganj,0.0,dghs_pdf,False
2022-07-04,Sylhet,Moulvibazar,0.0,dghs_pdf,False
2022-07-04,Sylhet,Sunamganj,0.0,dghs_pdf,False
2022-07-04,Sylhet,Sylhet,0.0,dghs_pdf,False
2022-07-05,Barishal,Barguna,0.0,dghs_pdf,False
2022-07-05,Barishal,Barishal,0.0,dghs_pdf,False
